"ID","ORG_UNIT_VERSION","CODE","DESCRIPTION","TYPE","B_LEVEL","STATUS","PARENT"
"698ac2de-f55b-407a-b41b-fedc2c2ba729",1,"PPE-RE-66","","SECT",4,"I","PPE-RE"
"17fc7a17-92c5-4ad0-a797-faeddf318808",1,"PPE-EC","","GROUP",3,"I","PPE"
"1eb69ae3-792a-4746-8ca1-9f6442201462",1,"PPE-TA1","","GROUP",3,"I","PPE"
"8dd10875-ac54-4cc8-8722-5dbcf8536235",1,"PPE-RE-05","","SECT",4,"I","PPE-RE"
"a3f9231c-2b7c-4037-8c77-d3b340cda763",1,"PPE-HL","","GROUP",3,"I","PPE"
"2ed3b8d5-9eb1-4eba-a9d8-84676be9339e",1,"PPE-LE","","GROUP",3,"I","PPE"
"a60c80c0-7632-4021-bf5c-bb44cf5f5050",1,"PPE-RE-20","","SECT",4,"I","PPE-RE"
"bc29679b-862b-401d-84a0-c0f0f0c298dd",1,"PPE-RE","","GROUP",3,"I","PPE"
"67716716-84b1-4de7-9817-55f477f00ee9",1,"PPE-GC","","GROUP",3,"I","PPE"
"d74b759e-92da-4a25-afa9-bf420a06ed16",1,"PPE-RE-36","","SECT",4,"I","PPE-RE"
"9a605c80-09a2-449c-a4ef-115135f02242",1,"PPE-SL","","GROUP",3,"I","PPE"
"ecf39375-7983-48c5-993f-4f5ab9d88e9f",1,"PPE-DRD","","GROUP",3,"I","PPE"
"f7d28f94-752c-4219-aa01-94fa65b8e9d3",1,"PPE-XB","","GROUP",3,"I","PPE"
"f61603c6-13ee-4bb9-adbe-d70f57fbf529",1,"PPE-TA1-TF","","SECT",4,"I","PPE-TA1"
"10cb98ae-5f0a-42ed-9323-f91e9165cd32",1,"PPE-VT-73","","SECT",4,"I","PPE"
"f4a0ad9b-4597-4cde-b345-4209614b0b9d",1,"PPE-EC-GE","","SECT",4,"I","PPE-EC"
"3b85424b-71b8-4305-8c2a-11738f29bce8",1,"PPE-DED","","GROUP",3,"I","PPE"
"0a1b2026-6286-4afb-96df-e9a15995b747",1,"PPE-VT-70","","SECT",4,"I","PPE"
"08795e91-0e23-434c-ac6e-17e970989368",1,"PPE-TA1-ML","","SECT",4,"I","PPE-TA1"
"5cec3d88-28f0-4bc8-8d59-9f8b21cdfab6",1,"PS-AA-CS","","SECT",4,"I","PS-AA"
"2a7cc96e-546d-4bb0-8b77-193197237a5f",1,"PPE-RE-04","","SECT",4,"I","PPE-RE"
"46d895b8-9493-4f44-bca9-431910ac7252",1,"PPE-LAA-MC","","SECT",4,"I","PPE-LAA"
"417c3951-f2f0-469b-9304-c08117e1efdc",1,"PPE-VT-28","","SECT",4,"I","PPE"
"c6d11b51-bc04-460f-809f-db7323e09c79",1,"PPE-DC1-EA","","SECT",4,"I","PPE-DC1"
"24323bd2-a180-4fea-bdce-d05b785c9242",1,"GS-SEM-HE","HVAC and Electricity","SECT",4,"I","GS-SEM"
"69937f9e-e2c2-4e7a-87b9-a01cdc09471b",1,"HR-PMD-MCL","Management, Communication & Language Training Section","SECT",4,"I","HR-PMD"
"2fd815e3-bec0-4a05-8fb6-44365cf8e982",1,"TS-AS3-SIS","Safety Inspection Services","SECT",4,"I","TS-AS3"
"e865f30a-c7e2-4542-a060-47d678a38add",2,"GS-SI-OA","Open Access Section","SECT",4,"I","GS-SI"
"39c3f09e-897a-46aa-a51a-e63b7212e5b6",1,"PS-BR-MA","","SECT",4,"I","PS-BR"
"8dfea451-9a60-444c-a691-bfc9b3071fd5",1,"PS-CA","CIRCULAR ACCELERATORS & AREAS GROUP","GROUP",3,"I","PS"
"d50b183f-2adf-4552-ba07-45d4f49b81fb",2,"GS-SMS","Service Management & Support","GROUP",3,"I","GS"
"3edda667-2043-448a-ac1b-fb8ed1ea401e",1,"TIS-TE-TS","Technical Support Section","SECT",4,"I","TIS-TE"
"c8a5d389-8b0f-4939-a629-ea958378aac7",1,"HR-SMD-PM","Planning & Monitoring Section","SECT",4,"I","HR-SMD"
"2e23fa84-ded6-4f8e-9906-c304f253b7b2",1,"PS-BD-PU","Pick-Up Systems Section","SECT",4,"I","PS-BD"
"70681fdb-ec60-46a4-993b-5c4668a382b4",1,"PS-BR-EL","","SECT",4,"I","PS-BR"
"442f74d6-30e8-4f17-b664-310794b6c2f2",1,"HR-OPS","ORGANIZATION PROCEDURES & SERVICES GROUP","GROUP",3,"I","HR"
"a08ace15-ef32-4cb9-9a20-374c394ed514",1,"HR-RPM-R","Recruitment","SECT",4,"I","HR-RPM"
"de00680e-490d-4e26-a4bb-df7a834e938f",1,"TS-CE-DI","Budget follow-up & General Services section","SECT",4,"I","TS-CE"
"7f638d40-33bf-45e7-9f00-10bd590b8ce8",1,"PS-AR","","GROUP",3,"I","PS"
"4efd7614-f409-44a3-a75d-c2591ed9a7b5",1,"PS-CO","CONTROLS GROUP","GROUP",3,"I","PS"
"65c19e62-9a24-4c6e-8200-b8b5a8d6d3a1",1,"HR-RPM-MI","Monitoring & Informatics","SECT",4,"I","HR-RPM"
"9cb7fcbe-0afd-418a-87ea-8d9b6662ef40",1,"TS-ABS","ADMINISTRATION, BUDGET & SECRETARIATS","GROUP",3,"I","TS"
"6ed15759-05c6-42dc-8a16-3c407587ff6c",1,"TS","TECHNICAL SUPPORT DEPARTEMENT","DEPART",2,"I","CERN"
"fb1f8cd2-78a0-4add-9083-de4213a51ae7",1,"TIS-RP-SI","Radiation Survey Meyrin Section","SECT",4,"I","TIS-RP"
"87489b26-1efd-45b1-b431-31593d5cf920",1,"GS-SI-LIB","Library Section","SECT",4,"I","GS-SI"
"6e1b3a49-99b6-4be2-869c-c467287908b2",1,"PS-BR-PF","","SECT",4,"I","PS-BR"
"83da99dc-b7f2-40c3-bf95-a14bee6bbbba",1,"TS-DEM-BE","Design Office Section","SECT",4,"I","TS-DEM"
"aa2728c4-4124-49bc-b0f5-4a67be09f6dc",2,"GS-ASE-AS","Alarm Systems","SECT",4,"I","GS-ASE"
"17c60552-4f20-4ccc-9c15-765f9e25a756",1,"HR-PMM","PERSONNEL PLANNING & MONITORING GROUP","GROUP",3,"I","HR"
"39564482-505d-4fb5-89cd-855523b9915b",1,"HR-DHO-FAI","Frontline / Administration & Infrastructure","SECT",4,"I","HR-DHO"
"4c7540cb-8d66-4768-ab89-fc580fcafeec",1,"TS-CV-MA","Maintenance Section","SECT",4,"I","TS-CV"
"cc5afd9e-0989-4216-baa0-3f2516fe5367",1,"TS-ASE-CSE","Computing for Safety & Engineering","SECT",4,"I","TS-ASE"
"2f0f795d-dbe8-4008-8eb9-d006417ace39",1,"HR-SMD","STRATEGY, MANAGEMENT & DEVELOPMENT GROUP","GROUP",3,"I","HR"
"c3c82a4d-148b-4374-9a0d-29cdd6a57d4e",1,"PS-BT-KM","","SECT",4,"I","PS-BT"
"78d2afbe-7e02-4f0f-add0-0c16a8603996",1,"HR-DHO-LA","Legal Advice","SECT",4,"A","HR-DHO"
"3b39202e-c6c2-4af8-87b4-e825c08f4666",1,"TS-ABS-ADM","Administration & Budget Support Section","SECT",4,"I","TS-ABS"
"8e5927b5-7d3a-4abd-a337-a3817722b9a9",1,"HR-SLM","SOCIAL & LEGAL MATTERS GROUP","GROUP",3,"I","HR"
"9f820d9b-a039-49d0-8e9e-ea633b4bfe1c",1,"TS-CV-OP","Operation section","SECT",4,"I","TS-CV"
"67e03132-b941-41c5-bef3-2d429baad410",1,"HR-PMD-ATT","Academic & Technical Training Section","SECT",4,"I","HR-PMD"
"1f9e6ec1-cfba-421b-ab7c-0dbe402c4e4e",3,"HR","HUMAN RESOURCES DEPARTMENT","DEPART",2,"A","CERN"
"b2e8e2e7-8dc8-4cf7-ac11-f60287b9ecfb",1,"TS-CV-TC","Works & Consolidation Section","SECT",4,"I","TS-CV"
"c672029d-96cc-4a93-9efc-fc0e439dcdbd",1,"GS-SE-CWM","Construction Works & Maintenance","SECT",4,"I","GS-SE"
"86108ba2-d65c-4084-9b61-c1579460d358",1,"GS-SEM-SM","Site Maintenance and works","SECT",4,"I","GS-SEM"
"75e33884-b155-406a-9298-8c3c6e7e4ce6",1,"HR-DI","OFFICE OF THE DIVISION LEADER","GROUP",3,"I","HR"
"fac123b4-3dcb-4f2e-9f6f-78f935b3fdd0",1,"PS-BD","BEAM DIAGNOSTICS GROUP","GROUP",3,"I","PS"
"29739e01-315a-4b1e-9ed0-2c19555208ca",1,"TIS-TE-MI","Mechanical Inspections Section","SECT",4,"I","TIS-TE"
"5a2c2e0a-0189-4e71-8873-6ae60378965d",1,"TS-ANR","UNPAID ASSOCIATES - DIV. TS","GROUP",3,"I","TS"
"2efd18fb-3031-43ff-9d4a-305de0677ec8",1,"HR-RPM-FA","Fellows & Apprentices","SECT",4,"I","HR-RPM"
"f3971309-d785-44b3-af6f-562cd722dfba",1,"HR-OPS-SER","Services Section","SECT",4,"I","HR-OPS"
"1b3fccf0-cfa2-4f7f-89de-77994a8451a8",1,"GS-SEM-SCE","Strategy and Civil Engineering Project Management","SECT",4,"I","GS-SEM"
"2f801c11-4cea-4a12-bae6-4ccb14355d0a",2,"GS-SE-PO","Project Office","SECT",4,"I","GS-SE"
"34031264-53da-4f50-8688-482e62d348e5",1,"HR-PMD-CR","Classification & Remuneration Section","SECT",4,"I","HR-PMD"
"b31d86b2-d730-4c1f-9ade-c6c6573fe5da",1,"GS-SEM-DOP","Design Office and Patrimony","SECT",4,"I","GS-SEM"
"e1cef86f-2d83-4257-998a-1eb927342e0d",1,"GS-SE-CEP","Civil Engineering & Project Management","SECT",4,"I","GS-SE"
"9c5392a2-4cb1-4fb7-ba4e-0202187e9d45",1,"GS-SI","Scientific information","GROUP",3,"I","GS"
"1dee5bfe-4be0-467a-8a04-bdb1d20f1ab0",2,"GS-SE","GS SITE ENGINEERING","GROUP",3,"I","GS"
"d43636b3-db7b-4616-b1e5-e8a49f0f8325",1,"HR-SMD-LD","Learning & Development Section","SECT",4,"I","HR-SMD"
"0d21a1bc-b918-45f4-bc9d-9e94b57c0580",1,"HR-PMD-RCC","Recruitment, Coordination & Contracts Section","SECT",4,"I","HR-PMD"
"0706fe76-62f8-4730-8109-1db56f915918",1,"PS-BD-SI","Systems Integration & Coordination Section","SECT",4,"I","PS-BD"
"b9a29e14-6f0b-493b-8210-ba633fd30ab7",1,"TS-CE-MW","Maintenance And Work Inquiries Section","SECT",4,"I","TS-CE"
"a089b755-131b-4954-810d-1454c77fff27",1,"TS-AS3-ADM","Administration","SECT",4,"I","TS-AS3"
"8afadae3-b240-4363-bfd8-489ba63b2ad7",1,"TIS-TE-LO","Software Support Section","SECT",4,"I","TIS-TE"
"b83173a6-ff0e-4808-a606-7f415d9e21b8",2,"BE-CO-SRC","Software for Real Time & Communication","SECT",4,"I","BE-CO"
"8853a58d-eac1-4536-829b-8865273cb00f",3,"PF-OP-IT","Pension Fund Unit-Operation Group-Information Technology","SECT",4,"A","PF-OP"
"a429b822-5e75-4d35-abce-9a822e42c558",2,"EN-ACE-ART","Audit & Technical Reviews","SECT",4,"I","EN-ACE"
