"ID","CONTRIBUTION_TYPE_ID","PLAN_UUID","ORG_UNIT_UUID","NAME_EN","NAME_FR","ORDER_IN_TYPE","ACTIVE","ORG_UNIT_CODE"
"43faaac8-971e-4b36-8915-936ed9ad281a",1000,"8a77c09c-de70-4ff6-bae7-964d1913b9e0","8365620a-eb50-4bb0-85bf-90c5d6f034a2","Marking","Traçage",1,1,"BE-GM"
"988ca67f-46ae-4bd0-83db-853372e62223",1001,"8a77c09c-de70-4ff6-bae7-964d1913b9e0","8365620a-eb50-4bb0-85bf-90c5d6f034a2","Component alignment","Alignement du composant",2,1,"BE-GM"
"b1988aed-9bb7-4a73-b780-72988adbd668",1002,"8a77c09c-de70-4ff6-bae7-964d1913b9e0","8365620a-eb50-4bb0-85bf-90c5d6f034a2","Smoothing","Lissage",3,1,"BE-GM"
"a99b054d-1283-4e26-a389-283b39af86ea",1003,"8a77c09c-de70-4ff6-bae7-964d1913b9e0","8365620a-eb50-4bb0-85bf-90c5d6f034a2","Network measurements","Mesures de réseau",4,1,"BE-GM"
"efcc1abe-d897-455f-96d5-0134b3181cba",1004,"8a77c09c-de70-4ff6-bae7-964d1913b9e0","8365620a-eb50-4bb0-85bf-90c5d6f034a2","Fiducialisation / assembly measurements","Fiducialisation / mesures d'assemblage",5,1,"BE-GM"
"8773c4d3-54af-400a-ba41-f4a79966150b",1005,"8a77c09c-de70-4ff6-bae7-964d1913b9e0","8365620a-eb50-4bb0-85bf-90c5d6f034a2","Scans","Scans",6,1,"BE-GM"
"d087b2e6-01bd-46e6-a752-63123402e467",1006,"8a77c09c-de70-4ff6-bae7-964d1913b9e0","37e884c0-072c-41fc-97fc-0007becec31e","Marking","Traçage",7,1,"BE-GM-ASG"
"cfc5922c-a540-46d1-8301-115a496800a5",1007,"8a77c09c-de70-4ff6-bae7-964d1913b9e0","37e884c0-072c-41fc-97fc-0007becec31e","Component alignment","Alignement du composant",8,1,"BE-GM-ASG"
"dcdffd9a-94a8-45c9-97ba-f54326368bdd",1008,"8a77c09c-de70-4ff6-bae7-964d1913b9e0","37e884c0-072c-41fc-97fc-0007becec31e","Smoothing","Lissage",9,1,"BE-GM-ASG"
"1971e3b2-7aaf-41f4-8ac0-d7c3b6fff4e4",1009,"8a77c09c-de70-4ff6-bae7-964d1913b9e0","37e884c0-072c-41fc-97fc-0007becec31e","Network measurements","Mesures de réseau",10,1,"BE-GM-ASG"
"5e2a8156-8363-46b1-8d13-39f84e68bb89",1010,"8a77c09c-de70-4ff6-bae7-964d1913b9e0","37e884c0-072c-41fc-97fc-0007becec31e","Fiducialisation / assembly measurements","Fiducialisation / mesures d'assemblage",11,1,"BE-GM-ASG"
