"SCHEDULABLE_PHASE_UUID","PERIOD_UUID"
"6ecb205b-1b1a-46d7-8b70-698c6774ea3e","0c4b2248-0f71-41a7-b342-bc6ca9181117"
"be52b492-10cf-44ab-82dc-0fc1e4a15995","0c4b2248-0f71-41a7-b342-bc6ca9181117"
"17a82b67-bf55-4304-aeba-075d954f9214","0c4b2248-0f71-41a7-b342-bc6ca9181117"
"f06d907d-3e8e-48e6-9937-998cd19bc649","0c4b2248-0f71-41a7-b342-bc6ca9181117"
"99019a19-7050-4f2f-8d3c-401e8c93e24f","0c4b2248-0f71-41a7-b342-bc6ca9181117"
"95362482-9fa1-4300-82df-2a530436b984","0c4b2248-0f71-41a7-b342-bc6ca9181117"
"388dea7d-313c-4629-bfa5-96bda83ab2e4","0c4b2248-0f71-41a7-b342-bc6ca9181117"
"81637952-f575-4ec7-ab6c-841dc1ed997a","0c4b2248-0f71-41a7-b342-bc6ca9181117"
"01f3f092-0e57-446d-a265-94f5b8770403","0c4b2248-0f71-41a7-b342-bc6ca9181117"
"e1510b3d-9395-4b46-9f69-8f64cf114063","0c4b2248-0f71-41a7-b342-bc6ca9181117"
"7ba30739-1353-4190-af57-37d8c290502d","0c4b2248-0f71-41a7-b342-bc6ca9181117"
"6be59e76-2bc4-4f81-ade7-a3b0fcbd95e7","0c4b2248-0f71-41a7-b342-bc6ca9181117"
"76ae039f-7a73-4264-933c-4f23137b022c","15f21cd8-6ebe-496f-b045-a2c10c427561"
"83e3ff4e-6645-4725-b3fc-48978a7d3b53","15f21cd8-6ebe-496f-b045-a2c10c427561"
"a1b6ff9a-bc12-461b-80e9-548fd9f2842b","15f21cd8-6ebe-496f-b045-a2c10c427561"
"2e558e7f-3f60-4178-9865-0321206990ae","15f21cd8-6ebe-496f-b045-a2c10c427561"
"a1200c52-4e20-4653-b3ca-d4de29f96854","15f21cd8-6ebe-496f-b045-a2c10c427561"
"dc5532d4-ebaa-4288-bf88-2eef892ce1da","15f21cd8-6ebe-496f-b045-a2c10c427561"
"9b4a9c9b-5eb6-4017-bd3b-fa72473340b5","0c4b2248-0f71-41a7-b342-bc6ca9181117"
"6ca47ea8-ab15-45cc-94f8-a282f736bb8b","0c4b2248-0f71-41a7-b342-bc6ca9181117"
"98adda8f-97ef-44fe-8679-b44d7fb6f945","0c4b2248-0f71-41a7-b342-bc6ca9181117"
"3e92f043-8a55-4b32-8378-c021e7cfd333","0c4b2248-0f71-41a7-b342-bc6ca9181117"
"5765a376-5f82-473b-a778-a4c517d3894e","0c4b2248-0f71-41a7-b342-bc6ca9181117"
