ID,ACTIVITY_UUID,GROUP_UUID,DESCRIPTION,FOR_COORDINATION,SECTION_UUID,PHASE_NAME,ORG_UNIT_CODE,ORG_UNIT_TYPE,STATUS,CONTRIBUTION_TYPE
6c2ad23e-784d-4cfe-9b2c-5fb1e52c8725,8033baff-7013-4ea6-8c6c-49d88e92041e,189b7989-6957-415a-ae80-285adf8a14e2,,1,,,TE-CRG,GROUP,A,Other
4fbd3870-e2ce-4871-b548-40c374e50e7d,81578ada-9905-47d7-835b-35baa09f4adc,eb22a561-2cf4-47cc-bc71-8124f8a5314f,,1,,,TE-MPE,GROUP,A,Other
5a7e95fc-f744-4fc4-9be2-8a460cd2b687,81578ada-9905-47d7-835b-35baa09f4adc,f7193902-20e6-421d-996a-4580547d9933,Planning and general coordination in preparation of the test campaign.,0,db34872b-2dc0-421f-bd84-2e7e2a3ffdc2,Preparation,EN-ACE-OSS,SECT,A,Other
20dcca00-2a41-4f33-b8a0-a5ae81932910,81578ada-9905-47d7-835b-35baa09f4adc,eb22a561-2cf4-47cc-bc71-8124f8a5314f,Production of detection units to measure the resistance of the conical joints plus other relevant signals in the EE system.,0,5e5d246c-125c-4e85-9db9-280683f05feb,Preparation,TE-MPE-EP,SECT,A,Other
a4333f16-a6fa-4e46-b9f0-ffb48cf95691,81578ada-9905-47d7-835b-35baa09f4adc,eb22a561-2cf4-47cc-bc71-8124f8a5314f,Supply of material and software for the tests: interconnection box; interlock box; cabling; software; half-rack for all measurement system.,0,16580df0-046c-492b-95da-3614b930dc96,Preparation,TE-MPE-MP,SECT,A,Other
72b46f38-6912-4713-b976-fb716337cebd,81578ada-9905-47d7-835b-35baa09f4adc,2d7f1df3-0ff2-4720-a6d2-4f6afe6b241a,Procurement of signal cables and installation study for conical joints permanent monitoring system.,0,adae5ab2-9b4c-415b-af16-324a6b686ad9,Preparation,EN-EL-CS,SECT,A,Other
fad2bd5a-3b6a-4c0d-b6e5-b747543b4ac9,81578ada-9905-47d7-835b-35baa09f4adc,acf7a512-bb71-49f1-8e64-127efe59ca80,"Preparation and setup of the power converters, ready for the short circuit tests.",0,29e17b6f-92bd-4a41-b368-155f637b7349,Preparation,SY-EPC-LPC,SECT,A,Other
ae69e275-b7f7-44a0-835d-7b53253b7fb9,81578ada-9905-47d7-835b-35baa09f4adc,6c347690-982c-4153-80ac-5fdf9f39b2e2,"Setup of water circuits in regular configuration, including regulation and balancing.",0,52a2f82a-6870-4753-94cc-ff085cd330c0,Preparation,EN-CV-LHC,SECT,A,Other
7f5c829c-3a95-42db-9696-2b35541cb4c9,81578ada-9905-47d7-835b-35baa09f4adc,2d7f1df3-0ff2-4720-a6d2-4f6afe6b241a,Procurement of copper blocks for short circuit on the DFB side.,0,adae5ab2-9b4c-415b-af16-324a6b686ad9,Preparation,EN-EL-CS,SECT,A,Other
31646e8b-cb97-4a6f-9e05-98ee7ba32d78,81578ada-9905-47d7-835b-35baa09f4adc,eb22a561-2cf4-47cc-bc71-8124f8a5314f,"Transport and installation of instrumentation, connection of cables plus instrumentation of EE system.",0,16580df0-046c-492b-95da-3614b930dc96,Installation,TE-MPE-MP,SECT,A,Other
ee6590ff-5587-44d3-a7b7-d63d45439cb4,81578ada-9905-47d7-835b-35baa09f4adc,2d7f1df3-0ff2-4720-a6d2-4f6afe6b241a,Installation of 160 signal cables and voltage taps for conical joints permanent monitoring system.,0,adae5ab2-9b4c-415b-af16-324a6b686ad9,Installation,EN-EL-CS,SECT,A,Other
72369ec9-68a8-4e8b-ace9-3e0af1a6ad65,81578ada-9905-47d7-835b-35baa09f4adc,2d7f1df3-0ff2-4720-a6d2-4f6afe6b241a,Mounting of Copper Blocks for short circuit on the DFB side.,0,adae5ab2-9b4c-415b-af16-324a6b686ad9,Installation,EN-EL-CS,SECT,A,Other
aa0d3a33-51ad-4726-997e-4bbbabc385af,81578ada-9905-47d7-835b-35baa09f4adc,a21229b0-b644-4314-bc90-36e0f6f8f537,Setting up of scaffolding for the installation of the permanent monitoring of the conical joints.,0,cd131de9-404c-465f-be47-dfc5d7f9c7b2,Installation,BE-EA-AS,SECT,I,Other
cfb840ce-a3f1-4172-9112-8f3399c48a22,81578ada-9905-47d7-835b-35baa09f4adc,eb22a561-2cf4-47cc-bc71-8124f8a5314f,Measurement of resistance of conical joints plus EE performance evaluation.,0,16580df0-046c-492b-95da-3614b930dc96,Commissioning,TE-MPE-MP,SECT,A,Other
22993c41-390e-4736-b6dc-a66cedf06db0,81578ada-9905-47d7-835b-35baa09f4adc,6c347690-982c-4153-80ac-5fdf9f39b2e2,Support for test of water-cooled cable interlocks vs power converters and possible NCs fixing.,0,52a2f82a-6870-4753-94cc-ff085cd330c0,Commissioning,EN-CV-LHC,SECT,A,Other
1bff6970-9595-4e7a-9cc1-91db3ce57d0e,81578ada-9905-47d7-835b-35baa09f4adc,acf7a512-bb71-49f1-8e64-127efe59ca80,Test of all interlocks and validation with current of all multi kA circuits prior to the short circuit tests and assistance during the short circuit tests.,0,29e17b6f-92bd-4a41-b368-155f637b7349,Commissioning,SY-EPC-LPC,SECT,A,Other
1e946df3-5f09-4f63-b2b6-cca89fe12df4,81578ada-9905-47d7-835b-35baa09f4adc,2d7f1df3-0ff2-4720-a6d2-4f6afe6b241a,Thermal monitoring and mechanical corrections on WCC.,0,adae5ab2-9b4c-415b-af16-324a6b686ad9,Commissioning,EN-EL-CS,SECT,A,Other
8f36b54b-6f6a-49d4-8d76-d5216d565fe7,81578ada-9905-47d7-835b-35baa09f4adc,f7193902-20e6-421d-996a-4580547d9933,Un-locking and locking of the power converters.,0,5a797281-b4d7-41cd-b4bb-86ee58b5ff38,Commissioning,EN-ACE-COS,SECT,A,Other
c47d6163-06e8-4065-806d-113b0c89088b,8572a050-732b-4622-86b4-e3cd82e36c2a,55273ea0-248a-41f7-b3d6-b9e03dc7141f,,1,,,SY-RF,GROUP,A,Other
